origin,destination,departure,arrival,vehicle_class,price,fare,duration
MADRID,BARCELONA,2019-04-15 14:30:00,2019-04-15 17:21:00,Turista,71.4938,Flexible,171
MADRID,SEVILLA,2019-04-15 15:00:00,2019-04-15 17:21:00,Preferente,69.4,Promo,141
MADRID,SEVILLA,2019-04-15 15:00:00,2019-04-15 17:21:00,Turista,76.3,Flexible,141
MADRID,SEVILLA,2019-04-15 16:00:00,2019-04-15 18:30:00,Turista,60.3,Promo,150
MADRID,SEVILLA,2019-04-15 16:00:00,2019-04-15 18:30:00,Turista,76.3,Flexible,150
MADRID,SEVILLA,2019-04-15 16:30:00,2019-04-15 18:51:00,Turista,60.3,Promo,141
MADRID,BARCELONA,2019-04-15 16:30:00,2019-04-15 19:15:00,Turista,107.7,Flexible,165
MADRID,SEVILLA,2019-04-15 17:00:00,2019-04-15 19:38:00,Turista,76.3,Flexible,158
MADRID,BARCELONA,2019-04-15 17:00:00,2019-04-15 19:30:00,Turista,127.1,Flexible,150
MADRID,BARCELONA,2019-04-15 17:00:00,2019-04-15 19:30:00,Turista,71.4938,Flexible,150
MADRID,BARCELONA,2019-04-15 17:30:00,2019-04-15 20:40:00,Turista,75.4,Promo,190
MADRID,SEVILLA,2019-04-15 18:00:00,2019-04-15 20:32:00,Turista,76.3,Flexible,152
MADRID,SEVILLA,2019-04-15 18:00:00,2019-04-15 20:32:00,Turista,71.4938,Flexible,152
MADRID,BARCELONA,2019-04-15 18:30:00,2019-04-15 21:20:00,Preferente,71.4938,Promo,170
MADRID,SEVILLA,2019-04-15 19:00:00,2019-04-15 21:38:00,Turista,71.4938,Flexible,158
MADRID,SEVILLA,2019-04-15 19:00:00,2019-04-15 21:38:00,Turista,76.3,Flexible,158
MADRID,BARCELONA,2019-04-15 19:30:00,2019-04-15 22:40:00,Turista,85.1,Promo,190
MADRID,SEVILLA,2019-04-15 20:35:00,2019-04-15 23:15:00,Turista,60.3,Promo,160
MADRID,SEVILLA,2019-04-15 21:25:00,2019-04-16 00:10:00,Turista Plus,52.2,Promo,165
MADRID,SEVILLA,2019-04-15 21:25:00,2019-04-16 00:10:00,Turista,71.4938,Promo,165
MADRID,SEVILLA,2019-04-15 21:25:00,2019-04-16 00:10:00,Turista,49.15,Promo,165
MADRID,BARCELONA,2019-04-16 06:10:00,2019-04-16 08:40:00,Turista Plus,71.4938,Promo,150
MADRID,BARCELONA,2019-04-16 06:10:00,2019-04-16 08:40:00,Turista,71.4938,Promo,150
MADRID,SEVILLA,2019-04-16 06:20:00,2019-04-16 09:16:00,Turista,49.15,Promo,176
